
 

 ************************************************
 *                 JEDI ANALYSIS                *
 *       Judgement of Energy DIstribution       *
 ************************************************

                   Strain Energy (kcal/mol)  Deviation (%)
      Geometries     0.60568093                  -
 Red. Int. Modes      0.67725170                11.82

 RIM No.       RIM type                       indices        delta_q (au) Percentage    Energy (kcal/mol)
    72       bond angle                    N18 C19 O20       -0.0002533     -0.0       -0.0000023
    73       bond angle                    N18 C19 N21       -0.0027458     -0.0       -0.0000016
    74       bond angle                    C19 N18 H24       -0.0009805      0.0        0.0000019
    75       bond angle                    C19 O20 H15       -0.0063721     -0.0       -0.0001403
    76       bond angle                    C19 N21 C22       -0.0013015     -0.0       -0.0000227
    77       bond angle                    C19 N21 H13        0.0026002     -0.0       -0.0000308
    78       bond angle                    O20 C19 N21        0.0029991     -0.0       -0.0000290
    79       bond angle                    N21 C22 N23        0.0006914     -0.0       -0.0000159
    80       bond angle                    C22 C16 H25        0.0020719     -0.0       -0.0000113
    81       bond angle                    C22 N21 H13       -0.0012988      0.0        0.0000073
    82       bond angle                    C22 N23 H27       -0.0033451     -0.0       -0.0000392
    83       bond angle                    C22 N23 H28        0.0067229     -0.0       -0.0002607
    84       bond angle                    N23 H27 O10       -0.0040765      0.0        0.0000221
    85       bond angle                    H27 N23 H28       -0.0033777     -0.0       -0.0000914
    86       dihedral                      N4 C0 N1 C2       -0.0000049      0.0        0.0000000
    87       dihedral                     H12 C0 N1 C2        0.0000012     -0.0       -0.0000000
    88       dihedral                      N1 C0 N4 C3        0.0000012      0.0        0.0000000
    89       dihedral                      N1 C0 N4 H5       -0.0000015     -0.0       -0.0000000
    90       dihedral                     H12 C0 N4 C3       -0.0000045      0.0        0.0000000
    91       dihedral                     H12 C0 N4 H5       -0.0000072      0.0        0.0000000
    92       dihedral                      C0 N1 C2 C3        0.0000069      0.0        0.0000000
    93       dihedral                      C0 N1 C2 C9        0.0000065      0.0        0.0000000
    94       dihedral                      N1 C2 C3 N4       -0.0000062      0.0        0.0000000
    95       dihedral                      N1 C2 C3 N6       -0.0000060      0.0        0.0000000
    96       dihedral                      C9 C2 C3 N4       -0.0000059      0.0        0.0000000
    97       dihedral                      C9 C2 C3 N6       -0.0000057      0.0        0.0000000
    98       dihedral                      N1 C2 C9 N8        0.0000080      0.0        0.0000000
    99       dihedral                     N1 C2 C9 O10        0.0000008     -0.0       -0.0000000
   100       dihedral                      C3 C2 C9 N8        0.0000076      0.0        0.0000000
   101       dihedral                     C3 C2 C9 O10        0.0000004     -0.0       -0.0000000
   102       dihedral                      C2 C3 N4 C0        0.0000030      0.0        0.0000000
   103       dihedral                      C2 C3 N4 H5        0.0000056      0.0        0.0000000
   104       dihedral                      N6 C3 N4 C0        0.0000029      0.0        0.0000000
   105       dihedral                      N6 C3 N4 H5        0.0000055      0.0        0.0000000
   106       dihedral                      C2 C3 N6 C7        0.0000009     -0.0       -0.0000000
   107       dihedral                      N4 C3 N6 C7        0.0000011      0.0        0.0000000
   108       dihedral                      C3 N6 C7 N8        0.0000010      0.0        0.0000000
   109       dihedral                     C3 N6 C7 N11        0.0000086      0.0        0.0000000
